symbol,总天数,持有_收益,无ML_T净贡献,无ML_总收益,无ML_交易天,无ML_夏普,ML_T净贡献,ML_总收益,ML_交易天,ML_夏普
600585,40,-15450.0,-550.0,-16000.0,0,-6.72,-753.0,-16203.0,1,-6.46
600588,40,-2300.0,-2258.0,-4558.0,14,-1.12,-1147.0,-3447.0,13,-0.63
600600,40,-3400.0,-964.0,-4364.0,1,-0.66,-200.0,-3600.0,0,-0.57
600660,40,-21256.0,-9753.0,-31009.0,8,-3.49,-17273.0,-38530.0,7,-3.96
600674,40,4100.0,1287.0,5387.0,10,1.89,742.0,4842.0,8,1.78
600690,40,-2900.0,-391.0,-3291.0,5,-0.9,-399.0,-3299.0,1,-0.95
600741,40,-12500.0,1108.0,-11392.0,4,-4.16,425.0,-12075.0,8,-4.26
600760,40,-27622.0,-7867.0,-35489.0,12,-2.89,-5112.0,-32734.0,10,-2.85
600795,40,1900.0,421.0,2321.0,14,2.16,356.0,2256.0,11,2.19
600803,40,-11350.0,19022.0,7672.0,12,1.66,19287.0,7937.0,11,1.78
600809,40,-77350.0,90622.0,13272.0,8,0.49,89288.0,11938.0,5,0.45
600845,40,-13714.0,-3590.0,-17304.0,25,-2.14,-4474.0,-18189.0,19,-2.34
600875,40,-7450.0,-39589.0,-47039.0,18,-2.23,-33973.0,-41423.0,26,-2.01
600886,40,1800.0,370.0,2170.0,14,0.7,-60.0,1740.0,12,0.58
600887,40,2100.0,-2508.0,-408.0,6,-0.09,-2443.0,-343.0,4,-0.08
600893,40,-37000.0,-11753.0,-48753.0,13,-2.3,-19349.0,-56349.0,13,-2.46
600900,40,3250.0,-2300.0,950.0,0,0.36,-2300.0,950.0,0,0.36
600905,40,800.0,192.0,992.0,6,1.73,169.0,969.0,4,1.76
600918,40,-3100.0,740.0,-2360.0,5,-3.47,615.0,-2485.0,3,-3.43
600919,40,2300.0,785.0,3085.0,2,2.7,785.0,3085.0,2,2.7
600926,40,-2200.0,2779.0,579.0,5,0.29,2729.0,529.0,3,0.26
600930,40,400.0,2463.0,2863.0,14,1.63,2175.0,2575.0,12,1.54
600938,40,-21350.0,32618.0,11268.0,13,1.59,33551.0,12201.0,8,1.86
600941,40,23750.0,13696.0,37446.0,2,3.77,13740.0,37490.0,1,3.78
600958,30,750.0,-740.0,10.0,14,0.01,-686.0,64.0,4,0.04
600989,40,-20121.0,28225.0,8104.0,19,0.94,26466.0,6345.0,26,0.69
600999,40,7300.0,-8855.0,-1555.0,9,-0.54,-8434.0,-1134.0,7,-0.41
601006,40,-750.0,1038.0,288.0,5,0.42,1115.0,365.0,2,0.53
601009,40,-750.0,752.0,2.0,6,0.0,703.0,-47.0,6,-0.03
601012,40,-20200.0,5362.0,-14838.0,7,-3.57,4664.0,-15536.0,15,-3.75
601018,40,-2536.0,-884.0,-3421.0,7,-4.5,-435.0,-2971.0,12,-4.12
601021,40,3400.0,-16558.0,-13158.0,14,-1.66,-15663.0,-12263.0,17,-1.55
601058,40,-2350.0,-5148.0,-7498.0,17,-2.19,-4285.0,-6635.0,16,-2.01
601059,40,3100.0,-5300.0,-2200.0,0,-1.31,-5300.0,-2200.0,0,-1.31
601066,40,13050.0,820.0,13870.0,12,2.68,66.0,13116.0,4,2.63
601077,40,-1800.0,1551.0,-249.0,9,-0.21,1002.0,-798.0,9,-0.66
601088,40,13350.0,13142.0,26492.0,7,2.75,13364.0,26714.0,7,2.75
601100,40,70000.0,-14101.0,55899.0,19,1.28,-10259.0,59741.0,19,1.4
601111,40,-800.0,-1049.0,-1849.0,14,-1.29,-1014.0,-1814.0,16,-1.28
601117,40,-5600.0,-1726.0,-7326.0,9,-3.83,-1803.0,-7403.0,9,-3.86
601127,40,-58500.0,8988.0,-49512.0,11,-1.88,14184.0,-44316.0,14,-1.72
601136,40,-8650.0,-3005.0,-11655.0,3,-4.28,-3374.0,-12024.0,6,-4.33
601138,40,103750.0,-48602.0,55148.0,32,1.57,-49628.0,54122.0,27,1.55
601166,40,-2250.0,450.0,-1800.0,0,-0.89,450.0,-1800.0,0,-0.89
601169,40,-1750.0,417.0,-1333.0,3,-2.88,420.0,-1330.0,1,-2.91
601186,40,-3050.0,-150.0,-3200.0,0,-5.01,-150.0,-3200.0,0,-5.01
601211,40,-4800.0,-2176.0,-6976.0,4,-2.49,-2014.0,-6814.0,4,-2.52
601225,40,6800.0,11076.0,17876.0,12,2.4,11141.0,17941.0,12,2.55
601229,40,-3300.0,-98.0,-3398.0,4,-2.55,112.0,-3188.0,2,-2.55
601236,40,-3174.0,514.0,-2660.0,2,-3.05,676.0,-2498.0,2,-2.72
601238,40,-5300.0,100.0,-5200.0,0,-5.94,-285.0,-5585.0,6,-5.72
601288,40,-359.0,2338.0,1979.0,6,1.5,2372.0,2013.0,4,1.72
601298,40,3700.0,45.0,3745.0,17,2.45,-17.0,3683.0,10,2.43
601318,40,-18650.0,-11029.0,-29679.0,3,-3.23,-8550.0,-27200.0,0,-3.08
601319,40,-2600.0,2062.0,-538.0,7,-0.38,2096.0,-504.0,9,-0.36
601328,40,-1100.0,102.0,-998.0,3,-1.28,100.0,-1000.0,0,-1.32
601336,40,-19200.0,2220.0,-16980.0,14,-1.28,6072.0,-13128.0,12,-1.01
601360,40,-2000.0,-4149.0,-6149.0,14,-1.88,-3697.0,-5697.0,13,-1.8
601377,40,-900.0,-880.0,-1780.0,8,-1.82,-698.0,-1598.0,4,-1.73
601390,40,-3400.0,276.0,-3124.0,2,-4.52,323.0,-3077.0,2,-4.48
601398,40,-636.0,1289.0,652.0,8,0.69,1209.0,573.0,6,0.61
601456,40,-1550.0,-1173.0,-2723.0,1,-1.76,-1492.0,-3042.0,5,-1.73
601600,40,-1700.0,-6956.0,-8656.0,19,-1.67,-4902.0,-6602.0,22,-1.33
601601,40,-30650.0,-3458.0,-34108.0,7,-4.08,-6287.0,-36937.0,13,-4.25
601607,40,-3350.0,-1419.0,-4769.0,2,-3.16,-1419.0,-4769.0,2,-3.16
601618,40,-1000.0,184.0,-816.0,2,-2.86,224.0,-776.0,3,-2.61
601628,40,-16350.0,96.0,-16254.0,5,-2.91,569.0,-15781.0,8,-2.71
601633,40,-18950.0,-2305.0,-21255.0,5,-8.18,-4109.0,-23059.0,5,-8.48
601658,40,-650.0,650.0,0.0,0,0.0,650.0,0.0,0,0.0
601668,40,-950.0,50.0,-900.0,0,-2.13,50.0,-900.0,0,-2.13
601669,40,-2300.0,-358.0,-2658.0,13,-1.85,-91.0,-2391.0,9,-1.7
601688,40,2050.0,-4904.0,-2854.0,12,-0.75,-4173.0,-2123.0,13,-0.54
601689,40,18006.0,-16559.0,1447.0,25,0.06,-17411.0,595.0,25,0.02
601698,40,-19550.0,-6155.0,-25705.0,19,-1.49,-9771.0,-29321.0,13,-1.64
601728,40,1700.0,1761.0,3461.0,8,2.09,2126.0,3826.0,7,2.43
601766,40,-3000.0,-1602.0,-4602.0,3,-6.96,-1588.0,-4588.0,4,-6.85
601788,40,-5500.0,-497.0,-5997.0,3,-2.53,-70.0,-5570.0,8,-2.2
601800,40,-5950.0,600.0,-5350.0,0,-7.05,600.0,-5350.0,0,-7.05
601808,40,-13100.0,7717.0,-5383.0,9,-1.85,5300.0,-7800.0,8,-2.53
601816,40,-350.0,-1236.0,-1586.0,5,-2.51,-1271.0,-1621.0,2,-2.59
601818,40,-450.0,-0.0,-450.0,0,-2.11,-0.0,-450.0,0,-2.11
601825,40,-2350.0,2547.0,197.0,8,0.13,2569.0,219.0,4,0.16
601838,40,8950.0,3307.0,12257.0,4,5.15,3094.0,12044.0,2,5.1
601857,40,-5950.0,11234.0,5284.0,9,2.64,11224.0,5274.0,9,2.47
601868,40,-200.0,693.0,493.0,25,0.38,353.0,153.0,23,0.12
601872,40,-5750.0,17689.0,11939.0,24,1.24,16770.0,11020.0,30,1.15
601877,40,-19400.0,699.0,-18701.0,18,-1.78,6113.0,-13287.0,17,-1.37
601878,40,-1650.0,-612.0,-2262.0,2,-1.77,-737.0,-2387.0,1,-1.83
601881,40,-2600.0,-118.0,-2718.0,4,-1.25,187.0,-2413.0,5,-1.07
601888,40,-64500.0,14896.0,-49604.0,10,-2.97,15535.0,-48965.0,9,-2.82
601898,40,-850.0,14160.0,13310.0,23,1.73,14568.0,13718.0,30,1.77
